rank_by_mean,model,input,0C_MAE,25C_MAE,45C_MAE,Mean_MAE,Max_MAE,source
1,CEMA-TCN (proposed G4),G4 17-dim,0.419,0.4648,0.3603,0.4136,0.4648,attached main proposed table
2,"LSTM, h128 l1",G4 17-dim,0.5252725763532237,0.6814053626513733,0.3129720876646002,0.5065500088897323,0.6814053626513733,risk_modelclass_lstm_h128_l1_seed012_e160_by_temperature.csv
3,"LSTM, h128 l6",G4 17-dim,0.7205338234354054,0.7198051141279859,0.4539781060770322,0.6314390145468078,0.7205338234354054,risk_modelclass_lstm_h128_l6_seed012_e160_by_temperature.csv
4,"Transformer, d128 h8 l2 GELU",G4 17-dim,0.6339286193596188,0.8512890865334333,0.5554797345207816,0.6802324801379446,0.8512890865334333,risk_modelclass_transformer_d128_h8_l2_gelu_seed012_e160_by_temperature.csv
5,"Vanilla TCN, h128 l6",G4 17-dim,0.8608819720512543,0.7657631847140128,0.4894396345476239,0.705361597104297,0.8608819720512543,risk_modelclass_vanilla_tcn_h128_l6_moe_seed012_e160_by_temperature.csv
6,"GRU, h128 l1",G4 17-dim,0.6534686442067298,0.9233813842274392,0.55119010196754,0.7093467101339029,0.9233813842274392,risk_modelclass_gru_h128_l1_seed012_e160_by_temperature.csv
7,"GRU, h128 l6",G4 17-dim,0.6908806583077762,1.0275685224780935,0.4846431744204723,0.734364118402114,1.0275685224780935,risk_modelclass_gru_h128_l6_seed012_e160_by_temperature.csv
8,Endpoint/window MLP,G4 17-dim,0.7036021257389847,1.3045021826194168,0.5609221996079904,0.8563421693221306,1.3045021826194168,risk_modelclass_endpoint_mlp_seed012_e160_by_temperature.csv
