file_name,temperature_C,profile,SOC0_Vinit_V,first_loaded_voltage_V,start_SOC_from_SOC0_Vinit,start_SOC_from_SOC0_Vinit_pct,start_SOC_from_first_loaded_voltage,start_SOC_from_first_loaded_voltage_pct,delta_vs_assumed_80_pct_point,q_ref_lc_ocv_Ah
NMC_0C_BJDST.csv,0.0,BJDST,3.966310978,3.954323769,0.8507142596239339,85.07142596239339,0.8392807244624294,83.92807244624294,5.071425962393383,1.881668420784214
NMC_0C_DST.csv,0.0,DST,3.967607021,3.967445135,0.8519734958711688,85.19734958711688,0.8518231683433116,85.18231683433116,5.197349587116873,1.881668420784214
NMC_0C_FUDS.csv,0.0,FUDS,3.966149092,3.966149092,0.8505622784502438,85.05622784502438,0.8505622784502438,85.05622784502438,5.056227845024375,1.881668420784214
NMC_0C_US06.csv,0.0,US06,3.966310978,3.966310978,0.8507142596239339,85.07142596239339,0.8507142596239339,85.07142596239339,5.071425962393383,1.881668420784214
NMC_25C_BJDST.csv,25.0,BJDST,3.92736125,3.920723915,0.8123739282798234,81.23739282798233,0.8063934281273359,80.63934281273359,1.237392827982331,2.156871388888889
NMC_25C_DST.csv,25.0,DST,3.953424931,3.953424931,0.8357117341970867,83.57117341970867,0.8357117341970867,83.57117341970867,3.571173419708662,2.156871388888889
NMC_25C_FUDS.csv,25.0,FUDS,3.953910589,3.953748703,0.8361320161629795,83.61320161629794,0.8359919221743487,83.59919221743488,3.6132016162979452,2.156871388888889
NMC_25C_US06.csv,25.0,US06,3.927685022,3.929303885,0.8126854521101862,81.26854521101862,0.8142677613652205,81.42677613652205,1.2685452110186124,2.156871388888889
NMC_45C_BJDST.csv,45.0,BJDST,3.960554361,3.951641083,0.857314689515246,85.7314689515246,0.8492930090942501,84.92930090942501,5.731468951524599,2.0221686111111112
NMC_45C_DST.csv,45.0,DST,3.957799435,3.957313061,0.8549098074880153,85.49098074880152,0.8544132652626509,85.44132652626509,5.490980748801522,2.0221686111111112
NMC_45C_FUDS.csv,45.0,FUDS,3.96023035,3.959743977,0.8570220036877233,85.70220036877232,0.8566121244733429,85.6612124473343,5.702200368772326,2.0221686111111112
NMC_45C_US06.csv,45.0,US06,3.960554361,3.96023035,0.857314689515246,85.7314689515246,0.8570220036877233,85.70220036877232,5.731468951524599,2.0221686111111112
