group_id,description,feature_set,input_dim,0C_MAE_pct,25C_MAE_pct,45C_MAE_pct,tempmean_MAE_pct,worst_temp_MAE_pct
T8,raw + all EMA = G4,paper_g4_all_ema,17,0.430427343856723,0.4606724028288104,0.3560582441483341,0.4157193302779558,0.4606724028288104
T7,raw + current/abs-current EMA 50/200,paper_t7_current_abs_ema_all,11,0.6321937752994451,0.3509893048600875,0.30657762977407,0.4299202366445342,0.6321937752994451
I200,current/abs-current EMA 200 only,paper_current_abs_ema200_only,7,0.5830155220750598,0.5718050050117999,0.1958969081736315,0.4502391450868304,0.5830155220750598
I50,current/abs-current EMA 50 only,paper_current_abs_ema50_only,7,0.9135334751921476,1.3924757466846909,0.2775840714176135,0.861197764431484,1.3924757466846909
V800,voltage EMA 800 only,paper_voltage_ema800_only,5,0.4814585424353306,1.892816224824062,0.2475249074310015,0.873933224896798,1.892816224824062
V200,voltage EMA 200 only,paper_voltage_ema200_only,5,0.7365408756392766,2.023687265947613,0.2219038753298637,0.9940440056389178,2.023687265947613
T6,raw + voltage EMA 50/200/800,paper_t6_voltage_ema_all,9,0.4869593722797076,2.118324560930383,0.3883961847823776,0.997893372664156,2.118324560930383
V50,voltage EMA 50 only,paper_voltage_ema50_only,5,0.8386800096108569,2.1158259059384736,0.2288812366474722,1.0611290507322677,2.1158259059384736
T0,raw V_corr/I/T,paper_g0_raw,3,1.036555178542146,1.9430752456010083,0.2326628720501889,1.0707644320644478,1.9430752456010083
