region_definition,group,G0_MAE,G4_MAE,delta_MAE_G4_minus_G0,relative_change,n_windows,seed_count_G0,seed_count_G4
SOC band,Low SOC,1.2397918892497275,0.5562743975722705,-0.683517491677457,-55.13163117167144,11765,3,3
SOC band,Mid SOC,0.9876661332769304,0.4080671602663823,-0.5795989730105482,-58.68369416368711,12334,3,3
SOC band,High SOC,0.8568274140400195,0.21677187471986836,-0.6400555393201511,-74.70063735498738,8179,3,3
Recent absolute-current history,Low,1.0787767138412303,0.43243628507536075,-0.6463404287658696,-59.914199154746974,16066,3,3
Recent absolute-current history,High,1.0143344682778694,0.3949620311791499,-0.6193724370987195,-61.06195308045541,16212,3,3
Voltage-response deviation,Low,1.164836966301112,0.45950145276996973,-0.7053355135311423,-60.5522947791487,16066,3,3
Voltage-response deviation,High,0.929049246465603,0.36814060358344375,-0.5609086428821592,-60.37447907266843,16212,3,3
Local V-I ambiguity,Non-ambiguous bins,1.0459010960228754,0.4107811907927132,-0.6351199052301622,-60.72466198240519,31878,3,3
Local V-I ambiguity,Ambiguous bins,1.086954863192,0.6394075135175333,-0.44754734967446674,-41.17441899658825,400,3,3
