temperature_C,training_profiles,heldout_profile,vi_overlap_coefficient,vi_jensen_shannon_divergence_bits,fuds_samples_outside_train_vi_bins_fraction,train_occupied_vi_bin_count,train_voltage_range_V,train_current_range_A,absI_mean_past200_overlap_coefficient,absI_mean_past200_jensen_shannon_divergence_bits
0,DST+US06,FUDS,0.531,0.2722,0.0057,1220.0,2.499-4.117,-4.000-2.000,0.5474,0.2466
0,DST+US06+BJDST,FUDS,0.4946,0.3049,0.0011,1303.0,2.499-4.117,-4.000-2.000,0.5569,0.2467
25,DST+US06,FUDS,0.5242,0.2794,0.0113,1305.0,2.403-4.055,-4.002-2.001,0.5495,0.2403
25,DST+US06+BJDST,FUDS,0.4945,0.3006,0.0019,1372.0,2.403-4.055,-4.002-2.001,0.5649,0.2418
45,DST+US06,FUDS,0.529,0.273,0.0071,1334.0,2.496-4.086,-4.000-2.000,0.5445,0.2402
45,DST+US06+BJDST,FUDS,0.5034,0.291,0.0036,1376.0,2.496-4.086,-4.000-2.000,0.5604,0.2431
Average,DST+US06,FUDS,0.5281,0.2749,0.008,1286.3,2.403-4.117,-4.002-2.001,0.5471,0.2424
Average,DST+US06+BJDST,FUDS,0.4975,0.2988,0.0022,1350.3,2.403-4.117,-4.002-2.001,0.5607,0.2439
