region_definition,group,G0_MAE,G4_MAE,delta_MAE_G4_minus_G0,relative_change,n_windows,seed_count_G0,seed_count_G4
SOC band,Low SOC,1.226806514127133,0.5506171754832621,-0.6761893386438709,-55.11784709791637,11765,3,3
SOC band,Mid SOC,0.9808266084973386,0.427412589117075,-0.5534140193802636,-56.42322655052289,12334,3,3
SOC band,High SOC,0.8830393348734691,0.2061600718969868,-0.6768792629764823,-76.6533535081393,8179,3,3
Recent absolute-current history,Low,1.0617266092020572,0.45429379884499593,-0.6074328103570612,-57.21179116096361,16066,3,3
Recent absolute-current history,High,1.0298280930422983,0.3785601406077184,-0.6512679524345799,-63.24045312364869,16212,3,3
Voltage-response deviation,Low,1.150482742543059,0.4712184300108251,-0.679264312532234,-59.041677672693226,16066,3,3
Voltage-response deviation,High,0.9418712685754506,0.36178792716642727,-0.5800833414090233,-61.588389067901005,16212,3,3
Local V-I ambiguity,Non-ambiguous bins,1.0450657708128848,0.4129360903375514,-0.6321296804753334,-60.48707154418072,31878,3,3
Local V-I ambiguity,Ambiguous bins,1.0966652646721249,0.6808112099889251,-0.4158540546831998,-37.91987109280147,400,3,3
