feature_set,input_role,input_dim,mae_0C,mae_25C,mae_45C,temp_mean_mae,worst_temp_mae
G0,Corrected voltage + current + temperature,3,1.0459155714469905,1.8892952626447197,0.24085107278303505,1.0586873022915817,1.8892952626447197
G1,G0 + local derivatives/excitation,8,0.7954811765152434,1.8136934703099292,0.23112118249319677,0.9467652764394564,1.8136934703099292
G4,G0 + voltage/current/absolute-current EMA memory,17,0.4528193025294412,0.45642519113343155,0.3474362064662871,0.41889356670971994,0.45642519113343155
G6,G4 + derivative/excitation terms,23,0.4398815131725597,0.6100306513372161,0.38204907457963966,0.47732041302980516,0.6100306513372161
G7,G6 without current/absolute-current EMA,15,0.4631218062578097,2.0031341961908415,0.3359941940448206,0.9340833988311572,2.0031341961908415
G8,G6 without voltage EMA,17,0.6238775181870715,0.6256604526407737,0.1839628482111372,0.47783360634632754,0.6256604526407737
