split,temperature_C,ema_feature,reference,pearson_r,n_rows
test,25.0,I_raw_dev_ema50,forbidden_trajectory_progress,0.0004267793907989048,11092
test,25.0,I_raw_ema200,forbidden_cumulative_Ah,-0.024475825497578284,11092
test,25.0,I_raw_ema200,SOC_physical,0.024475826267713795,11092
test,25.0,I_raw_ema200,forbidden_trajectory_progress,-0.02442030915203732,11092
test,25.0,I_raw_dev_ema200,forbidden_cumulative_Ah,0.01168142392983138,11092
test,25.0,I_raw_dev_ema200,SOC_physical,-0.011681424467229648,11092
test,25.0,I_raw_dev_ema200,forbidden_trajectory_progress,0.012529941388500578,11092
test,25.0,absI_ema50,forbidden_cumulative_Ah,-0.0370239868937872,11092
test,25.0,absI_ema50,SOC_physical,0.03702398635309158,11092
test,25.0,absI_ema50,forbidden_trajectory_progress,-0.03719063507921136,11092
test,25.0,absI_dev_ema50,forbidden_cumulative_Ah,-0.002127333129121201,11092
test,25.0,absI_dev_ema50,SOC_physical,0.002127334238855975,11092
test,25.0,absI_dev_ema50,forbidden_trajectory_progress,-0.002910063285864317,11092
test,25.0,absI_ema200,forbidden_cumulative_Ah,0.039411613071117034,11092
test,25.0,absI_ema200,SOC_physical,-0.03941161369364682,11092
test,25.0,absI_ema200,forbidden_trajectory_progress,0.03973098313161076,11092
test,25.0,absI_dev_ema200,forbidden_cumulative_Ah,-0.023686666087299243,11092
test,25.0,absI_dev_ema200,SOC_physical,0.02368666707216204,11092
test,25.0,absI_dev_ema200,forbidden_trajectory_progress,-0.0245525616056735,11092
test,25.0,forbidden_cumulative_Ah,SOC_physical,-0.999999999999998,11092
test,45.0,V_corr_raw_ema50,forbidden_cumulative_Ah,-0.9617115452390593,11626
test,45.0,V_corr_raw_ema50,SOC_physical,0.9617115452886941,11626
test,45.0,V_corr_raw_ema50,forbidden_trajectory_progress,-0.961730141069245,11626
test,45.0,V_corr_raw_dev_ema50,forbidden_cumulative_Ah,-0.28200392340553837,11626
test,45.0,V_corr_raw_dev_ema50,SOC_physical,0.28200392329267104,11626
test,45.0,V_corr_raw_dev_ema50,forbidden_trajectory_progress,-0.2820510439226472,11626
test,45.0,V_corr_raw_ema200,forbidden_cumulative_Ah,-0.9746983066598243,11626
test,45.0,V_corr_raw_ema200,SOC_physical,0.9746983067176415,11626
test,45.0,V_corr_raw_ema200,forbidden_trajectory_progress,-0.9746987361053504,11626
test,45.0,V_corr_raw_dev_ema200,forbidden_cumulative_Ah,-0.25856636040925685,11626
test,45.0,V_corr_raw_dev_ema200,SOC_physical,0.2585663603226384,11626
test,45.0,V_corr_raw_dev_ema200,forbidden_trajectory_progress,-0.25872306701790654,11626
test,45.0,V_corr_raw_ema800,forbidden_cumulative_Ah,-0.9873337220087194,11626
test,45.0,V_corr_raw_ema800,SOC_physical,0.9873337220686373,11626
test,45.0,V_corr_raw_ema800,forbidden_trajectory_progress,-0.9873299594714742,11626
test,45.0,V_corr_raw_dev_ema800,forbidden_cumulative_Ah,-0.21016870928791104,11626
test,45.0,V_corr_raw_dev_ema800,SOC_physical,0.21016870923926959,11626
test,45.0,V_corr_raw_dev_ema800,forbidden_trajectory_progress,-0.21027105655987896,11626
test,45.0,I_raw_ema50,forbidden_cumulative_Ah,-0.004314887201983422,11626
test,45.0,I_raw_ema50,SOC_physical,0.004314886763824282,11626
test,45.0,I_raw_ema50,forbidden_trajectory_progress,-0.0034094774382552925,11626
test,45.0,I_raw_dev_ema50,forbidden_cumulative_Ah,0.007028687680136711,11626
test,45.0,I_raw_dev_ema50,SOC_physical,-0.007028688576398003,11626
test,45.0,I_raw_dev_ema50,forbidden_trajectory_progress,0.007604228806871869,11626
test,45.0,I_raw_ema200,forbidden_cumulative_Ah,-0.08963106692372706,11626
test,45.0,I_raw_ema200,SOC_physical,0.089631066833795,11626
test,45.0,I_raw_ema200,forbidden_trajectory_progress,-0.08958602187305797,11626
test,45.0,I_raw_dev_ema200,forbidden_cumulative_Ah,0.01862933967024375,11626
test,45.0,I_raw_dev_ema200,SOC_physical,-0.018629340646933036,11626
test,45.0,I_raw_dev_ema200,forbidden_trajectory_progress,0.01945034613768518,11626
test,45.0,absI_ema50,forbidden_cumulative_Ah,0.01577766925886565,11626
test,45.0,absI_ema50,SOC_physical,-0.015777669068483397,11626
test,45.0,absI_ema50,forbidden_trajectory_progress,0.015621507491147582,11626
test,45.0,absI_dev_ema50,forbidden_cumulative_Ah,-0.009625246206898537,11626
test,45.0,absI_dev_ema50,SOC_physical,0.009625246721259926,11626
test,45.0,absI_dev_ema50,forbidden_trajectory_progress,-0.010380044218249524,11626
test,45.0,absI_ema200,forbidden_cumulative_Ah,0.11982043283099175,11626
test,45.0,absI_ema200,SOC_physical,-0.11982043288855534,11626
test,45.0,absI_ema200,forbidden_trajectory_progress,0.12013901514065248,11626
test,45.0,absI_dev_ema200,forbidden_cumulative_Ah,-0.028953525585310138,11626
test,45.0,absI_dev_ema200,SOC_physical,0.028953526152077323,11626
test,45.0,absI_dev_ema200,forbidden_trajectory_progress,-0.029790530899350385,11626
test,45.0,forbidden_cumulative_Ah,SOC_physical,-0.9999999999999987,11626
train,0.0,V_corr_raw_ema50,forbidden_cumulative_Ah,-0.9759908215246507,29181
train,0.0,V_corr_raw_ema50,SOC_physical,0.97607067681264,29181
train,0.0,V_corr_raw_ema50,forbidden_trajectory_progress,-0.9720057358901617,29181
train,0.0,V_corr_raw_dev_ema50,forbidden_cumulative_Ah,-0.003397320398917962,29181
train,0.0,V_corr_raw_dev_ema50,SOC_physical,0.003501725417554663,29181
train,0.0,V_corr_raw_dev_ema50,forbidden_trajectory_progress,-9.659554022022562e-05,29181
train,0.0,V_corr_raw_ema200,forbidden_cumulative_Ah,-0.9792746286984734,29181
train,0.0,V_corr_raw_ema200,SOC_physical,0.9793417065753574,29181
train,0.0,V_corr_raw_ema200,forbidden_trajectory_progress,-0.975627035420562,29181
train,0.0,V_corr_raw_dev_ema200,forbidden_cumulative_Ah,0.0001433826482137507,29181
train,0.0,V_corr_raw_dev_ema200,SOC_physical,5.273586428009335e-05,29181
train,0.0,V_corr_raw_dev_ema200,forbidden_trajectory_progress,0.005696390547099669,29181
train,0.0,V_corr_raw_ema800,forbidden_cumulative_Ah,-0.9879028967719331,29181
train,0.0,V_corr_raw_ema800,SOC_physical,0.9879417067573557,29181
train,0.0,V_corr_raw_ema800,forbidden_trajectory_progress,-0.9851922957905556,29181
train,0.0,V_corr_raw_dev_ema800,forbidden_cumulative_Ah,0.01658546735383355,29181
train,0.0,V_corr_raw_dev_ema800,SOC_physical,-0.016286174571735552,29181
train,0.0,V_corr_raw_dev_ema800,forbidden_trajectory_progress,0.0259874086913033,29181
train,0.0,I_raw_ema50,forbidden_cumulative_Ah,-0.010944489435877211,29181
train,0.0,I_raw_ema50,SOC_physical,0.010982339089101236,29181
train,0.0,I_raw_ema50,forbidden_trajectory_progress,-0.01087755953579317,29181
train,0.0,I_raw_dev_ema50,forbidden_cumulative_Ah,0.006064605133022625,29181
train,0.0,I_raw_dev_ema50,SOC_physical,-0.006067380754037065,29181
train,0.0,I_raw_dev_ema50,forbidden_trajectory_progress,0.006661539929593532,29181
train,0.0,I_raw_ema200,forbidden_cumulative_Ah,-0.1553648470533846,29181
train,0.0,I_raw_ema200,SOC_physical,0.15545189743120197,29181
train,0.0,I_raw_ema200,forbidden_trajectory_progress,-0.15694781320338655,29181
train,0.0,I_raw_dev_ema200,forbidden_cumulative_Ah,0.023317047322313367,29181
train,0.0,I_raw_dev_ema200,SOC_physical,-0.023318766658754923,29181
train,0.0,I_raw_dev_ema200,forbidden_trajectory_progress,0.02411819181299934,29181
train,0.0,absI_ema50,forbidden_cumulative_Ah,0.0061948068740279106,29181
train,0.0,absI_ema50,SOC_physical,-0.00579706952973195,29181
train,0.0,absI_ema50,forbidden_trajectory_progress,0.01647593554985432,29181
train,0.0,absI_dev_ema50,forbidden_cumulative_Ah,-0.0079507428959597,29181
train,0.0,absI_dev_ema50,SOC_physical,0.007953652357985673,29181
train,0.0,absI_dev_ema50,forbidden_trajectory_progress,-0.008814839801532134,29181
