variant,seed,epoch,split,temperature_C,drive_cycle,n_windows,MAE_pct,RMSE_pct,bias_pct,diagnostic_test_peek,selector,selector_min_epoch,selector_max_epoch,selected_epoch,selector_score,stage1_ensemble_epochs,protocol_note
condinv_tcn6_moe_linear_mmd0p02_trainDST25_selector_base,0,200,test,0.0,,9658,0.489826623537842,0.6643141875361517,-0.0079767270521684,True,,,,,,,diagnostic checkpoint sweep; selected paper candidate remains epoch 160
condinv_tcn6_moe_linear_mmd0p02_trainDST25_selector_base,0,200,test,25.0,,11043,0.4609559504847417,0.6266090527383847,-0.066653021131317,True,,,,,,,diagnostic checkpoint sweep; selected paper candidate remains epoch 160
condinv_tcn6_moe_linear_mmd0p02_trainDST25_selector_base,0,200,test,45.0,,11577,0.3725542051758988,0.5032288130171569,-0.2680249027589282,True,,,,,,,diagnostic checkpoint sweep; selected paper candidate remains epoch 160
temperature_mean,0,40,test,ALL,,32278,0.3907786906920499,0.5240128498000084,,,,,,,,,unweighted temperature mean
temperature_mean,0,60,test,ALL,,32278,0.3901414542619148,0.5191609635613391,,,,,,,,,unweighted temperature mean
temperature_mean,0,80,test,ALL,,32278,0.392414911881049,0.5273964866600418,,,,,,,,,unweighted temperature mean
temperature_mean,0,100,test,ALL,,32278,0.4038383906477591,0.5433089705785038,,,,,,,,,unweighted temperature mean
temperature_mean,0,120,test,ALL,,32278,0.42842547213691357,0.5892095388656126,,,,,,,,,unweighted temperature mean
temperature_mean,0,140,test,ALL,,32278,0.45848775964831817,0.6093082821994079,,,,,,,,,unweighted temperature mean
temperature_mean,0,160,test,ALL,,32278,0.42923129716660996,0.5998220344050983,,,,,,,,,unweighted temperature mean
temperature_mean,0,180,test,ALL,,32278,0.4769712828475077,0.6570396808910026,,,,,,,,,unweighted temperature mean
temperature_mean,0,200,test,ALL,,32278,0.44111225973282747,0.5980506844305644,,,,,,,,,unweighted temperature mean
