Region definition,Group,G0 MAE (%SOC),G4 MAE (%SOC),Reduction (%SOC),Relative reduction (%),n windows
SOC band,Low SOC,1.2398,0.5563,0.6835,55.1316,11765
SOC band,Mid SOC,0.9877,0.4081,0.5796,58.6837,12334
SOC band,High SOC,0.8568,0.2168,0.6401,74.7006,8179
Recent absolute-current history,Low,1.0788,0.4324,0.6463,59.9142,16066
Recent absolute-current history,High,1.0143,0.395,0.6194,61.062,16212
Voltage-response deviation,Low,1.1648,0.4595,0.7053,60.5523,16066
Voltage-response deviation,High,0.929,0.3681,0.5609,60.3745,16212
Local V-I ambiguity,Non-ambiguous bins,1.0459,0.4108,0.6351,60.7247,31878
Local V-I ambiguity,Ambiguous bins,1.087,0.6394,0.4475,41.1744,400
