temperature_C,condition,bin_key,n_samples,SOC_IQR_fraction,SOC_range_fraction
0.0,C_raw_plus_V_dev_from_past200_tertile,"(0, 4, 0)",82,0.03744302979833013,0.1078543896248305
0.0,C_raw_plus_V_dev_from_past200_tertile,"(0, 7, 0)",91,0.034778267136314406,0.096450956499744
0.0,C_raw_plus_V_dev_from_past200_tertile,"(1, 0, 0)",171,0.18948848001829255,0.3607759282542249
0.0,C_raw_plus_V_dev_from_past200_tertile,"(1, 1, 0)",116,0.0738735355425219,0.21864243165077218
0.0,C_raw_plus_V_dev_from_past200_tertile,"(1, 2, 0)",81,0.03304177565939159,0.1262335565481859
0.0,C_raw_plus_V_dev_from_past200_tertile,"(1, 3, 0)",80,0.05604436285647471,0.1336525522893074
0.0,C_raw_plus_V_dev_from_past200_tertile,"(1, 4, 0)",58,0.028886057597045656,0.1013480471471351
0.0,C_raw_plus_V_dev_from_past200_tertile,"(1, 7, 0)",66,0.023775423584647765,0.1132605710288179
0.0,C_raw_plus_V_dev_from_past200_tertile,"(2, 0, 0)",119,0.20715609444361527,0.34598146254933254
0.0,C_raw_plus_V_dev_from_past200_tertile,"(2, 1, 0)",171,0.0897203432207277,0.24368506641017418
0.0,C_raw_plus_V_dev_from_past200_tertile,"(2, 2, 0)",77,0.046213022464265674,0.17486548605777658
0.0,C_raw_plus_V_dev_from_past200_tertile,"(2, 4, 0)",59,0.051988599901313215,0.109210005190158
0.0,C_raw_plus_V_dev_from_past200_tertile,"(2, 5, 0)",56,0.03162349873538661,0.08263943279400579
0.0,C_raw_plus_V_dev_from_past200_tertile,"(2, 7, 0)",62,0.035800571390383173,0.1039138569874049
0.0,C_raw_plus_V_dev_from_past200_tertile,"(2, 10, 0)",59,0.014517669127369043,0.07506601819910609
0.0,C_raw_plus_V_dev_from_past200_tertile,"(3, 0, 0)",70,0.17129098952592636,0.2920955370000036
0.0,C_raw_plus_V_dev_from_past200_tertile,"(3, 1, 0)",105,0.11725977735693327,0.22806581879174898
0.0,C_raw_plus_V_dev_from_past200_tertile,"(3, 2, 0)",77,0.08015453900324027,0.2468025400731166
0.0,C_raw_plus_V_dev_from_past200_tertile,"(3, 3, 0)",52,0.055546754791752834,0.11716499812869147
0.0,C_raw_plus_V_dev_from_past200_tertile,"(3, 7, 0)",58,0.038835369577662565,0.1578228139957409
0.0,C_raw_plus_V_dev_from_past200_tertile,"(3, 9, 0)",50,0.029117621040356007,0.06589952010120448
0.0,C_raw_plus_V_dev_from_past200_tertile,"(3, 10, 0)",69,0.038176853693522306,0.0820580051695022
0.0,C_raw_plus_V_dev_from_past200_tertile,"(4, 1, 0)",59,0.09276341578182123,0.14744949164056054
0.0,C_raw_plus_V_dev_from_past200_tertile,"(4, 2, 0)",72,0.07419021081659694,0.2462654496969181
0.0,C_raw_plus_V_dev_from_past200_tertile,"(4, 3, 0)",79,0.07375656419702553,0.17699109647660521
0.0,C_raw_plus_V_dev_from_past200_tertile,"(4, 4, 0)",59,0.025829868257129518,0.08599205438525143
0.0,C_raw_plus_V_dev_from_past200_tertile,"(4, 7, 0)",52,0.017091952888594636,0.08708543024371249
0.0,C_raw_plus_V_dev_from_past200_tertile,"(5, 1, 0)",60,0.07504132922802365,0.18951186305827
0.0,C_raw_plus_V_dev_from_past200_tertile,"(5, 2, 0)",72,0.08819535772983639,0.2301349049555772
0.0,C_raw_plus_V_dev_from_past200_tertile,"(5, 3, 0)",64,0.03460055543306928,0.16375289651014546
0.0,C_raw_plus_V_dev_from_past200_tertile,"(5, 7, 0)",62,0.04152008618364311,0.1291807670868465
0.0,C_raw_plus_V_dev_from_past200_tertile,"(6, 3, 0)",68,0.07419654514205032,0.17662172162165035
