feature_group,representative_channel,low_frequency_energy_percent,mid_frequency_energy_percent,high_frequency_energy_percent,median_frequency,high_frequency_reduction_vs_raw_reference_percent
Raw voltage,V_raw,20.78,30.97,48.26,0.019206,0.0
Corrected voltage,V_corr_raw,97.98,1.94,0.08,0.000977,99.84
Short voltage EMA,V_corr_raw_ema50,99.56,0.44,0.0,0.000977,98.15
Long voltage EMA,V_corr_raw_ema800,99.99,0.01,0.0,0.000977,99.94
Raw current,I_raw,14.88,30.81,54.31,0.024495,0.0
Short current EMA,I_raw_ema50,66.37,28.87,4.76,0.003662,92.21
Absolute-current EMA,absI_ema50,72.49,22.6,4.91,0.00293,92.7
